Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0006,NuGet package source mappings are recommended,Active,Information,1,Heads\Pix2d.Browser\Pix2d.Browser.csproj,File,NuGet.config,,,,,,,,Found 1 files matching the rule:    NuGet.config  
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Heads\Pix2d.Browser\Pix2d.Browser.csproj,File,Heads\Pix2d.Browser\Pix2d.Browser.csproj,,,,,,,,Current target framework: net9.0-browser Recommended target framework: net10.0--browser
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Heads\Pix2d.Browser\Pix2d.Browser.csproj,File,Heads\Pix2d.Browser\Services\BrowserPlatformStuffService.cs,63,8,T:System.Uri,,,,,var uri = new Uri(url);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Heads\Pix2d.Browser\Pix2d.Browser.csproj,File,Heads\Pix2d.Browser\Services\BrowserPlatformStuffService.cs,63,8,M:System.Uri.#ctor(System.String),,,,,var uri = new Uri(url);
NuGet.0006,NuGet package source mappings are recommended,Active,Information,1,Core\Pix2d.Core\Pix2d.Core.csproj,File,NuGet.config,,,,,,,,Found 1 files matching the rule:    NuGet.config  
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Core\Pix2d.Core\Pix2d.Core.csproj,File,Core\Pix2d.Core\Pix2d.Core.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Core\Pix2d.Core\Pix2d.Core.csproj,File,Core\Pix2d.Core\Services\SessionService.cs,76,8,M:System.TimeSpan.FromSeconds(System.Int64),,,,,"if (!await _saveLock.WaitAsync(criticalSave ? TimeSpan.FromSeconds(5) : TimeSpan.Zero))          {              if (criticalSave)              {                  Logger.Log($""Critical save blocked: app busy or lock held"");              }              return;          }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Core\Pix2d.Core\Pix2d.Core.csproj,File,Core\Pix2d.Core\Common\FileSystem\AvaloniaFolder.cs,54,12,M:System.IO.Path.Combine(System.ReadOnlySpan{System.String}),,,,,"filePath = System.IO.Path.Combine(System.IO.Path.GetFileNameWithoutExtension(name) + ""_"" + i + ""."" + extension);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Core\Pix2d.Core\Pix2d.Core.csproj,File,Core\Pix2d.Core\Common\FileSystem\AvaloniaFolder.cs,49,8,M:System.IO.Path.Combine(System.ReadOnlySpan{System.String}),,,,,"var filePath = System.IO.Path.Combine(System.IO.Path.GetFileNameWithoutExtension(name) + ""."" + extension);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Core\Pix2d.Core\Pix2d.Core.csproj,File,Core\Pix2d.Core\Common\FileSystem\AvaloniaFolder.cs,7,26,T:System.Uri,,,,,folder.Path
